crop,soil_type,ph_min,ph_max,nitrogen_requirement,phosphorus_requirement,potassium_requirement,organic_carbon_requirement,ec_max,climate,temp_min_c,temp_max_c,season,duration_months,water_need
Rice,Clay,5.5,7.0,High,Medium,Medium,Medium,2.0,Tropical,20,35,Kharif,4,High
Rice,Loamy,5.5,7.0,High,Medium,Medium,Medium,2.0,Tropical,20,35,Kharif,4,High
Rice,Alluvial,5.5,7.0,High,Medium,Medium,Medium,2.0,Tropical,20,35,Whole Year,4,High
Rice,Clay,5.5,7.0,High,Medium,Medium,Medium,2.0,Subtropical,20,35,Kharif,4,High
Wheat,Loamy,6.0,7.5,Medium,Medium,Medium,Medium,4.0,Subtropical,10,25,Rabi,5,Medium
Wheat,Alluvial,6.0,7.5,Medium,Medium,Medium,Medium,4.0,Subtropical,10,25,Rabi,5,Medium
Wheat,Black,6.0,7.5,Medium,Medium,Medium,Medium,4.0,Subtropical,10,25,Rabi,5,Medium
Maize,Loamy,5.5,7.5,Medium,Medium,Low,Medium,4.0,Subtropical,18,30,Kharif,4,Medium
Maize,Alluvial,5.5,7.5,Medium,Medium,Low,Medium,4.0,Subtropical,18,30,Kharif,4,Medium
Maize,Red,5.5,7.5,Medium,Medium,Low,Medium,4.0,Subtropical,18,30,Kharif,4,Medium
Maize,Sandy,5.5,7.5,Medium,Medium,Low,Medium,4.0,Subtropical,18,30,Rabi,3,Medium
Banana,Loamy,6.0,7.5,High,High,High,High,2.0,Tropical,15,35,Whole Year,12,High
Banana,Alluvial,6.0,7.5,High,High,High,High,2.0,Tropical,15,35,Whole Year,12,High
Banana,Red,6.0,7.5,High,High,High,High,2.0,Tropical,15,35,Whole Year,12,High
Cotton,Black,6.0,8.0,High,Medium,High,Medium,4.0,Tropical,21,30,Kharif,6,Medium
Cotton,Alluvial,6.0,8.0,High,Medium,High,Medium,4.0,Tropical,21,30,Kharif,6,Medium
Cotton,Red,6.0,8.0,High,Medium,High,Medium,4.0,Semi-arid,21,30,Kharif,6,Medium
